sesion,red,n,exito,txid,bloque,t_envio_s,t_confirmacion_s,fee_lovelace,id_registro,hash_sha256,timestamp,error
S1,preprod,1,True,8f8cbe2897eef03dd3561810118b4396cf3528c3d0cb2dacffaa5c658a87ebe6,4909516,0.614,99.377,175093,LCD-28851A69E57F,9ae5e8d170e93cb07d906432447aa1d3daa8c77c772c263a7b9b735d156ef2a6,2026-07-07T16:42:03+00:00,
S1,preprod,2,True,93ec000a6d1b0aa1a394f5721f792d3f645a9c022e25b2f6024509c86998322f,4909518,0.336,26.283,175093,LCD-E18D53F020A7,e0dec542d6e525313d5553d279dc7ab08f352f1d01f5cd3329311621b83e7b74,2026-07-07T16:44:13+00:00,
S1,preprod,3,True,5aa4844f4a7793eaad35a1e22ae06539660c50819b499094ef69c3593276d670,4909520,0.44,64.845,175093,LCD-72547B70739F,7d738eacb5b2645ec00b3aeac29f541331854a73ba84b891129aec481252c790,2026-07-07T16:45:09+00:00,
S1,preprod,4,True,5a2d6a852f93049659c19437a027dd9e04947d02ae4601a5b1621cbc6477e7ee,4909524,1.498,17.253,175093,LCD-A754CB018EE8,b1f328f1cd75a69c0b9dcdae5435b23c2044a02dfbdd8dd4f94735b620124bca,2026-07-07T16:46:44+00:00,
S1,preprod,5,True,e5a9db40344e356e491a520111134e46c66f588272ba31515960f2586943ef1b,4909525,0.506,59.341,175093,LCD-E5320189F96F,b4f32d3b794ff0f526ea99dceb035ba7e0a03f3f335ee80edd73ebb4b241a875,2026-07-07T16:47:31+00:00,
S1,preprod,6,True,c0749be31a10e123e944c10b82c9cef4a33aa6f1805a4fe5a6b4f042e1fd2d2c,4909530,0.728,26.513,175093,LCD-EE1C0D86BAC7,a4af58ea43faa010a358c2b36c4b54e4d5a5bc8e35520e8e7dce2d16733e8844,2026-07-07T16:49:01+00:00,
S1,preprod,7,True,a86acacc6d6b63ab6e7ceb24bd84edef52a35cc0180288785228d2a80bd649cf,4909532,0.837,11.261,175093,LCD-26D2C02C6ACC,2f4c03d216b21ccc2c616b8baf7c56d817825a534da05f1e961f008d4f83cf35,2026-07-07T16:49:57+00:00,
S1,preprod,8,True,1fd97863e7a3a3cf0def02ae40917d463010c56641604b2842b78764a8466a90,4909535,0.459,21.22,175093,LCD-09C7B8BD2FC9,b4a5ba30f918def05f5324cb235895c13ab2c9196f844e88d0f7f76372fdb4d1,2026-07-07T16:50:39+00:00,
S1,preprod,9,True,accd1ea8342402fbab7392c249575f6fe0ad5bf3dbf0a54eb47215d7ef10e4ab,4909538,0.394,16.052,175093,LCD-C96E746CC079,187bcb3c8cdc91b1ca5db43f2602df2dd29d16ff755fb255c97c29acde226143,2026-07-07T16:51:30+00:00,
S1,preprod,10,True,d552126882de14252e38dc76abd75ef0b520a86a6c7744dd7cc3dfd5813a9433,4909543,0.418,5.635,175093,LCD-4E9A249B4AA9,5d90973ba92ce7208cc37be2325ba39cb03e9820e83f6aeb2e2fff2fe9a7fbe9,2026-07-07T16:52:16+00:00,
S1,preprod,11,True,b6893599a29500e38924144daaa8b70ef55ac724d6e6e34f6fcd670977b85c0d,4909546,0.499,15.991,175093,LCD-86283770B4D4,a7fd42b2936972730e126343982f6afd2fdbbe7693f2c378c0a42f534783820e,2026-07-07T16:52:51+00:00,
S1,preprod,12,True,d254e55d19d475d9537c63cd7a3d5c0ce1f1903ee200d15b1d492739b3c89b8e,4909547,0.578,11.121,175093,LCD-A4B388003C20,f324441151a1c274c4f7e2d5a14fa5422c9f2947cf1e247c983a98e8e4ba3c05,2026-07-07T16:53:37+00:00,
S1,preprod,13,True,a71f04ac1137d858bc6907e5493d6df314481f23c2404af3f7cbd01e680c730f,4909550,0.345,83.388,175093,LCD-38E3DE78A415,088dcaf39e3103e21d63f814f1c94d4c37bbb13235875e7a48dd77aae5c1c747,2026-07-07T16:54:19+00:00,
S1,preprod,14,True,d5329ea106707a9be65ea3ef1fc8125b9d857244c1844f0c3ea01d1b213e055b,4909555,0.472,10.827,175093,LCD-FFED1EF70E5C,43964294c6e01bc65f610c1bc55f57edee3718c0b077e8d3c68711560607af5e,2026-07-07T16:56:12+00:00,
S1,preprod,15,True,3648aeada15c70ae3aa018cefb1ab5a987ae36de582c4c7f68e2004a02bfb866,4909557,0.347,37.525,175093,LCD-9510649B4E52,aaa8a72a05a264eb5fc9b7b5271ab3a16451e3f84b7ae26656b767d28cf7b94c,2026-07-07T16:56:53+00:00,
S1,preprod,16,True,fc5da2cf521686a77b07c5618c66033acc638d1de42489d8801c9aa25692f3f5,4909561,0.517,43.5,175093,LCD-D12D0F666585,7b49e68465f77d414c66b7e2737bfa991c738d537dbc03a957eb5a140744d7f3,2026-07-07T16:58:00+00:00,
S1,preprod,17,True,db982e02f7cd581bbd46469dd0ac208afb907e323725f94712bca29cd2f5729f,4909564,0.403,10.96,175093,LCD-3919EA2AF257,7c3a52c1b395428583d5db1b7f86c2ecaecba918e7abc5e180573afbc7c7cfd7,2026-07-07T16:59:14+00:00,
S1,preprod,18,True,2289f7b1015c08275b782ecb3c6643f29f245f539388bc9c68566b7b2701701d,4909565,1.459,19.291,175093,LCD-C3C14196356E,df2e0bdf9c3f3a8c134ac5398ceb9dd3deb716c0621398dfb14a162c7c7e64c5,2026-07-07T16:59:55+00:00,
S1,preprod,19,True,b0e6ba8ede0ac4fa607dfe4b317e7e89ce56970bbb6fa336a7d8e5ec187c3a3d,4909570,0.458,46.984,175093,LCD-EEA020931239,547d0235e149a19c37c3bf8e560715d66d68b33514e172959629f3a159635022,2026-07-07T17:00:44+00:00,
S1,preprod,20,True,f87b3d27a2860b4e3cd73b6637d8e211f4790c4101a151b8c91e06cea56b2d38,4909572,0.431,58.662,175093,LCD-2F51B48F44F3,89bea49b4113561042094da2576452eeed48907beffba5566ffcecddd41f5ab9,2026-07-07T17:02:01+00:00,
S1,preprod,21,True,3954549db58a243b9408b0d21e59d87210a99ca118deb2047a7696bee33e23bd,4909575,0.445,5.936,175093,LCD-960E06C2E276,482a3ddd9e1072980310121b4d1f7fd3263cb06e2b81297427dd73c1b7515bdd,2026-07-07T17:03:30+00:00,
S1,preprod,22,True,ca0d41f72c74584fa64b9f0c7a17773aac0283b52118d9727a0a34a7401cbfc7,4909579,1.477,84.629,175093,LCD-A401E4DBD9E0,0aa48f75decd4db2af68c8fb33ac28b8333e41244d092e3a213b2c34eec7be22,2026-07-07T17:04:06+00:00,
S1,preprod,23,True,639000eb915a3d0992528d9a3fbf763f4397909a0a460b1c12384788f58bf383,4909580,0.42,36.634,175093,LCD-9744F322A8B6,8782c5c7e030e28cee48b6765f7cf3cf8cc900cb803a05103c34f9b507e13b6b,2026-07-07T17:06:00+00:00,
S1,preprod,24,True,9a2e482dc40e23906eb17c15d436bf6651790d60968b9b79d84d0b17c19fdeaf,4909582,0.442,15.965,175093,LCD-1C23C2533780,c4e5ed7d1a200cf90a9693952fcc75529aa1538d7b1c643b3fc345fa9155eea1,2026-07-07T17:07:07+00:00,
S1,preprod,25,True,b7263e4fb26a90be729e7399494139d17d4a4834add2f96047881ed62038ef69,4909585,1.488,75.389,175093,LCD-9EDA93A3F466,158bd0e5b05536d4127a7ff68e41dc8df207f726bf82fd2ea71630981a65d28a,2026-07-07T17:07:53+00:00,
