n,exito,txid,bloque,t_envio_s,t_confirmacion_s,fee_lovelace,id_registro,timestamp,error
1,True,36e1e8f35ea12e4d237d878bf4fcf9f8709714edc041807115121f42ea13b356,13688882,0.682,47.287,174917,LCD-B25C41529409,2026-07-17T06:36:34+00:00,
2,True,34c089bf86b09b5dc13f15e690455e36507126a056ba23d38f1da36b26740fec,13688885,0.505,10.964,174917,LCD-DAF032B1809E,2026-07-17T06:38:23+00:00,
3,True,a8fc6e6eaabe7dc9121b2449722ab37e5326e6167bc07adf696696e8eeeff5fe,13688891,0.507,42.177,174917,LCD-C85C539548F7,2026-07-17T06:39:34+00:00,
4,True,f76f13d52d48e1347a51f18f9caa41efa5d68bb5bef1c4bdd4893a364f395654,13688897,0.515,11.045,176501,LCD-8457DC52784B,2026-07-17T06:41:16+00:00,
5,True,251fc121698a51624152f9892251005b4cf782dfdf5a9cdb39614c617d6589bd,13688900,0.601,52.459,176501,LCD-B86780DC9766,2026-07-17T06:42:28+00:00,
6,True,44f0e539aaf44b661319dde43d8b7de33b574467ea22bdf58fa4830387de76df,13688904,0.435,31.621,176501,LCD-07D9AEDFBEB1,2026-07-17T06:44:20+00:00,
7,True,7448037b4cf643ec03a21be62ba85fee79740cc8bdb9e4358e37e9cdf1f9949e,13688906,0.599,31.628,176501,LCD-750156F368C5,2026-07-17T06:45:52+00:00,
8,True,d543898c693685df4d535091e9249a73acb323b3371a4c8966693d7511279c02,13688910,0.376,10.995,178085,LCD-8D3423003F0D,2026-07-17T06:47:23+00:00,
9,True,c2a6bf27c15c333acffbe218e297bc187cea77c2406c265562fd48142df65c02,13688913,0.409,10.864,176501,LCD-6C0B090EBE72,2026-07-17T06:48:34+00:00,
10,True,2cddd3220f7ba67c22709a64b8e50da7aa8bee892fcc01de721601fb71ca8f4f,13688916,0.464,26.399,176501,LCD-1540A5B88017,2026-07-17T06:49:45+00:00,
