n,exito,txid,bloque,t_envio_s,t_confirmacion_s,fee_lovelace,id_registro,timestamp,error
1,True,fcff59cf8b491e43e090876e18dd966f4785ccf9976d32cde4b73a54b8f297e9,4901823,0.611,36.624,175093,LCD-1BEDCD76839F,2026-07-05T15:34:17+00:00,
2,True,da7d7e4bee71897dde537709bdba05441d3083ed6463b42ba4aafd4a06a0a081,4901827,0.261,56.888,175093,LCD-F7B58AB4F819,2026-07-05T15:35:39+00:00,
3,True,bf2a3d0080368e8cafa131512856ca722d3234f29f9a9965118674b42f8943dd,4901831,0.357,21.037,175093,LCD-BD2E65CB99C6,2026-07-05T15:37:21+00:00,
4,True,ead52c4e181408418a44f2f2e9faeee0d32d70224f59fe05eb3f034ece6a8e36,4901833,0.367,26.157,175093,LCD-F27B1B9D8AC8,2026-07-05T15:38:27+00:00,
5,True,697672a35766f2e12f6ac10bba125264d7ea0f5fd6072ad71094c9888c969687,4901837,0.388,21.244,175093,LCD-07DFA8A5EC98,2026-07-05T15:39:39+00:00,
6,True,118529b05346e3a41d188b20a67f3f5f19bad5a7e56b8b8cc0580caa5250bd10,4901840,0.44,82.737,175093,LCD-EDDCBB50E796,2026-07-05T15:40:45+00:00,
7,True,66eb66b574fcd5ab73bc6569684b1cadad54b33a69690ef79063aac50c098726,4901841,0.326,56.823,175093,LCD-FA534BC197FA,2026-07-05T15:42:53+00:00,
8,True,6c183e789f1c9e74eb7fd7baf5d3a5c9a97c583af25c5a424d5620fb44a6728b,4901846,0.273,46.783,175093,LCD-07BAD09B145C,2026-07-05T15:44:34+00:00,
9,True,dc95ed51214b45fc80932c12786979a1f70768e0d1988a0f1055fff39cef73a7,4901850,0.332,15.913,175093,LCD-DAADD277E4BB,2026-07-05T15:46:06+00:00,
10,True,f35c3c38cb80e174c614ed368651719df9e3c556d2c49816c23b183fc424474a,4901852,0.608,67.377,175093,LCD-B22457D3FC8B,2026-07-05T15:47:07+00:00,
11,True,c032a004b308e76f9f2f6bd39342e2754836ada7669b6127ae6803a844ca69fd,4901855,0.275,46.417,175093,LCD-1BA5C67CADFA,2026-07-05T15:49:00+00:00,
12,True,36936336ecb358c61af3050dcd0406705dc417d50e142f9b28f573bdec07dd45,4901860,0.267,21.06,175093,LCD-33D89D15642C,2026-07-05T15:50:31+00:00,
13,True,c7ea302159b3faf18caa290cca7924a3c7254576aa5c052687e9e34d0dd91c1e,4901870,0.352,36.39,175093,LCD-D5BC133A0487,2026-07-05T15:51:37+00:00,
14,True,f79a62fb169c94ffb4a5c261e30c454c3bb7b7a3d9c277337f63ba25a4e040ee,4901873,0.367,26.01,175093,LCD-D08C091A06D1,2026-07-05T15:52:58+00:00,
15,True,b2c18c2c74ce86cc1e2d73a550eecbc8d1128a0e12e0615d5fae82af6d885f80,4901875,0.283,10.584,175093,LCD-9601CC10D5BC,2026-07-05T15:54:09+00:00,
16,True,6d4d7b538cfa6e7d79a548182c0222191a8c961b1bc3f3392c83788aa21baa33,4901879,0.299,26.172,175093,LCD-57CA274DC63D,2026-07-05T15:55:05+00:00,
17,True,4ef5840d43a18c251de8971a7b9224dc71b3593878f9f55e6057d3200973f88c,4901882,0.336,15.802,175093,LCD-73A0E1BCCEE8,2026-07-05T15:56:16+00:00,
