n,txid,exito,t_verificacion_s,metadatos_ok,integridad,bloque,id_registro,sha256_recuperado
1,fcff59cf8b491e43e090876e18dd966f4785ccf9976d32cde4b73a54b8f297e9,True,0.996,True,OK(id),4901823,LCD-1BEDCD76839F,b56550f0b296658bea3e98a84bcb953fcfcec5aba8f45970d31d7d8e1a5897c7
2,da7d7e4bee71897dde537709bdba05441d3083ed6463b42ba4aafd4a06a0a081,True,0.407,True,OK(id),4901827,LCD-F7B58AB4F819,4713eeca7e48cc9a6055ce1a60f9775cafe31e824f3d62715a06d3e6c55e1d0e
3,bf2a3d0080368e8cafa131512856ca722d3234f29f9a9965118674b42f8943dd,True,0.25,True,OK(id),4901831,LCD-BD2E65CB99C6,d06bcf8790a42f1f4683d87cb33b71e2dc0077fe7535907d0117ddb0e32e27fb
4,ead52c4e181408418a44f2f2e9faeee0d32d70224f59fe05eb3f034ece6a8e36,True,0.286,True,OK(id),4901833,LCD-F27B1B9D8AC8,83c989de24da0c75a5aecf79a3ad93a334108ea33f334e142c75e5fad748ac62
5,697672a35766f2e12f6ac10bba125264d7ea0f5fd6072ad71094c9888c969687,True,0.251,True,OK(id),4901837,LCD-07DFA8A5EC98,701643fa55800f9294de83771a2d0043c594f1d8ed2011d693eef1a042b307e2
6,118529b05346e3a41d188b20a67f3f5f19bad5a7e56b8b8cc0580caa5250bd10,True,0.226,True,OK(id),4901840,LCD-EDDCBB50E796,68c0bb27bc11cfb59d041685691dbf704324a26726084e6853fa89b927a72279
7,66eb66b574fcd5ab73bc6569684b1cadad54b33a69690ef79063aac50c098726,True,0.261,True,OK(id),4901841,LCD-FA534BC197FA,b3113765352982210bcc05234af47dd41dafc99d20a21813c581b7c78ed667a9
8,6c183e789f1c9e74eb7fd7baf5d3a5c9a97c583af25c5a424d5620fb44a6728b,True,0.235,True,OK(id),4901846,LCD-07BAD09B145C,e4d8d6a30b87d3f4face7956ece2b2516bd2ce778f7bf8bd9ffab0f6f0649248
9,dc95ed51214b45fc80932c12786979a1f70768e0d1988a0f1055fff39cef73a7,True,0.224,True,OK(id),4901850,LCD-DAADD277E4BB,ef5c6d4ac5be24990f4895a0016ebadec7806eaed382af0100efc9becde56191
10,f35c3c38cb80e174c614ed368651719df9e3c556d2c49816c23b183fc424474a,True,0.257,True,OK(id),4901852,LCD-B22457D3FC8B,b5927f850065f4ac924e59885e14813a9614294e4cdb0f98a19eaf4863e8a24f
11,c032a004b308e76f9f2f6bd39342e2754836ada7669b6127ae6803a844ca69fd,True,0.342,True,OK(id),4901855,LCD-1BA5C67CADFA,0f1ceb8d9ee703623c2da1f443d8f0986799e5b2c6f177b3525315efeff110fd
12,36936336ecb358c61af3050dcd0406705dc417d50e142f9b28f573bdec07dd45,True,0.215,True,OK(id),4901860,LCD-33D89D15642C,b92671da2e2854dc0d5f9a965409d18dc9b988f4d511b3c07d71418cee9be655
13,c7ea302159b3faf18caa290cca7924a3c7254576aa5c052687e9e34d0dd91c1e,True,0.318,True,OK(id),4901870,LCD-D5BC133A0487,0173f93483fd1ddc521d8fb3e7e7f72ad282250968df12f1d92921eb18f0e293
14,f79a62fb169c94ffb4a5c261e30c454c3bb7b7a3d9c277337f63ba25a4e040ee,True,0.291,True,OK(id),4901873,LCD-D08C091A06D1,56f278cc7013982eefd6020db1a82ab7a53da8f04a1a5fb1f0dd319381a3c6dd
15,b2c18c2c74ce86cc1e2d73a550eecbc8d1128a0e12e0615d5fae82af6d885f80,True,0.318,True,OK(id),4901875,LCD-9601CC10D5BC,7d8aca308ca30f3172342f80807404adadcf2e9f69794b5aaee3252533239b7e
16,6d4d7b538cfa6e7d79a548182c0222191a8c961b1bc3f3392c83788aa21baa33,True,0.227,True,OK(id),4901879,LCD-57CA274DC63D,ff53fdbdb1a62721ff06c80973017cb22a701452bc7ee6f44b121052175daba7
17,4ef5840d43a18c251de8971a7b9224dc71b3593878f9f55e6057d3200973f88c,True,0.251,True,OK(id),4901882,LCD-73A0E1BCCEE8,d19f20da30e83ff3bdd163a47ba205b1202cae32bd9de6c34bf24b2e7888385f
