n,txid,exito,t_verificacion_s,metadatos_ok,integridad,bloque,id_registro,sha256_recuperado
1,8f8cbe2897eef03dd3561810118b4396cf3528c3d0cb2dacffaa5c658a87ebe6,True,2.448,True,OK,4909516,LCD-28851A69E57F,9ae5e8d170e93cb07d906432447aa1d3daa8c77c772c263a7b9b735d156ef2a6
2,93ec000a6d1b0aa1a394f5721f792d3f645a9c022e25b2f6024509c86998322f,True,0.265,True,OK,4909518,LCD-E18D53F020A7,e0dec542d6e525313d5553d279dc7ab08f352f1d01f5cd3329311621b83e7b74
3,5aa4844f4a7793eaad35a1e22ae06539660c50819b499094ef69c3593276d670,True,0.18,True,OK,4909520,LCD-72547B70739F,7d738eacb5b2645ec00b3aeac29f541331854a73ba84b891129aec481252c790
4,5a2d6a852f93049659c19437a027dd9e04947d02ae4601a5b1621cbc6477e7ee,True,0.195,True,OK,4909524,LCD-A754CB018EE8,b1f328f1cd75a69c0b9dcdae5435b23c2044a02dfbdd8dd4f94735b620124bca
5,e5a9db40344e356e491a520111134e46c66f588272ba31515960f2586943ef1b,True,0.191,True,OK,4909525,LCD-E5320189F96F,b4f32d3b794ff0f526ea99dceb035ba7e0a03f3f335ee80edd73ebb4b241a875
6,c0749be31a10e123e944c10b82c9cef4a33aa6f1805a4fe5a6b4f042e1fd2d2c,True,0.202,True,OK,4909530,LCD-EE1C0D86BAC7,a4af58ea43faa010a358c2b36c4b54e4d5a5bc8e35520e8e7dce2d16733e8844
7,a86acacc6d6b63ab6e7ceb24bd84edef52a35cc0180288785228d2a80bd649cf,True,0.252,True,OK,4909532,LCD-26D2C02C6ACC,2f4c03d216b21ccc2c616b8baf7c56d817825a534da05f1e961f008d4f83cf35
8,1fd97863e7a3a3cf0def02ae40917d463010c56641604b2842b78764a8466a90,True,0.22,True,OK,4909535,LCD-09C7B8BD2FC9,b4a5ba30f918def05f5324cb235895c13ab2c9196f844e88d0f7f76372fdb4d1
9,accd1ea8342402fbab7392c249575f6fe0ad5bf3dbf0a54eb47215d7ef10e4ab,True,0.181,True,OK,4909538,LCD-C96E746CC079,187bcb3c8cdc91b1ca5db43f2602df2dd29d16ff755fb255c97c29acde226143
10,d552126882de14252e38dc76abd75ef0b520a86a6c7744dd7cc3dfd5813a9433,True,0.182,True,OK,4909543,LCD-4E9A249B4AA9,5d90973ba92ce7208cc37be2325ba39cb03e9820e83f6aeb2e2fff2fe9a7fbe9
11,b6893599a29500e38924144daaa8b70ef55ac724d6e6e34f6fcd670977b85c0d,True,0.228,True,OK,4909546,LCD-86283770B4D4,a7fd42b2936972730e126343982f6afd2fdbbe7693f2c378c0a42f534783820e
12,d254e55d19d475d9537c63cd7a3d5c0ce1f1903ee200d15b1d492739b3c89b8e,True,0.215,True,OK,4909547,LCD-A4B388003C20,f324441151a1c274c4f7e2d5a14fa5422c9f2947cf1e247c983a98e8e4ba3c05
13,a71f04ac1137d858bc6907e5493d6df314481f23c2404af3f7cbd01e680c730f,True,0.214,True,OK,4909550,LCD-38E3DE78A415,088dcaf39e3103e21d63f814f1c94d4c37bbb13235875e7a48dd77aae5c1c747
14,d5329ea106707a9be65ea3ef1fc8125b9d857244c1844f0c3ea01d1b213e055b,True,0.213,True,OK,4909555,LCD-FFED1EF70E5C,43964294c6e01bc65f610c1bc55f57edee3718c0b077e8d3c68711560607af5e
